id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:12280,Oluf Onsums vei,59.895618,10.801765,NSR:Quay:12280,136
NSR:Quay:12277,Benveien,59.897536,10.79716,NSR:Quay:12277,137
NSR:Quay:12271,Lyngveien,59.897616,10.793134,NSR:Quay:12271,138
NSR:Quay:12263,Simensbråten,59.89583,10.78733,NSR:Quay:12263,139
NSR:Quay:109021,Majorstuen,59.92858,10.717482,NSR:Quay:109021,140
NSR:Quay:11618,John Colletts plass,59.940972,10.729831,NSR:Quay:11618,141
NSR:Quay:11314,Ullevål stadion T,59.947263,10.732862,NSR:Quay:11314,142
NSR:Quay:11384,Nordberghjemmet,59.961427,10.744331,NSR:Quay:11384,143
NSR:Quay:105184,Kongleveien,59.961826,10.734439,NSR:Quay:105184,596
NSR:Quay:11404,Kringsjå,59.964134,10.734327,NSR:Quay:11404,144
NSR:Quay:101619,Sognsvann T,59.967443,10.733213,NSR:Quay:101619,145
NSR:Quay:11148,Helsfyr T,59.912619,10.800422,NSR:Quay:11148,28
NSR:Quay:11089,Carl Berners plass T,59.926031,10.777328,NSR:Quay:11089,14
NSR:Quay:111169,Homansbyen,59.922837,10.725628,NSR:Quay:111169,96
NSR:Quay:8225,Uranienborgveien,59.921079,10.722348,NSR:Quay:8225,95
NSR:Quay:11475,Riddervolds plass,59.918301,10.718713,NSR:Quay:11475,94
NSR:Quay:7739,Solli,59.915234,10.717219,NSR:Quay:7739,93
NSR:Quay:7790,Observatoriegata,59.912723,10.719314,NSR:Quay:7790,92
NSR:Quay:7692,Tjuvholmen,59.910114,10.721237,NSR:Quay:7692,0
NSR:Quay:10794,Skullerud,59.866984,10.84,NSR:Quay:10794,146
NSR:Quay:10804,Langerudhjemmet,59.869165,10.83646,NSR:Quay:10804,147
NSR:Quay:10944,Langerudveien,59.873715,10.829816,NSR:Quay:10944,148
NSR:Quay:10940,Lille Langerud,59.87656,10.828346,NSR:Quay:10940,149
NSR:Quay:10920,Abildsø,59.880323,10.825763,NSR:Quay:10920,150
NSR:Quay:10924,Smedberg,59.884904,10.8177,NSR:Quay:10924,597
NSR:Quay:10927,Alléen,59.888539,10.813854,NSR:Quay:10927,151
NSR:Quay:10848,Sandstuveien,59.891278,10.809748,NSR:Quay:10848,152
NSR:Quay:10841,Ryensvingen,59.894483,10.805912,NSR:Quay:10841,135
NSR:Quay:10831,Ryen T,59.895974,10.802726,NSR:Quay:10831,136
NSR:Quay:10836,Ryenberget,59.897529,10.802685,NSR:Quay:10836,153
NSR:Quay:10868,Manglerudveien,59.899977,10.803393,NSR:Quay:10868,154
NSR:Quay:10873,Furuveien,59.903872,10.80308,NSR:Quay:10873,598
NSR:Quay:12116,Eirik Raudes vei,59.902506,10.7969,NSR:Quay:12116,599
NSR:Quay:12105,Kværner,59.901995,10.787635,NSR:Quay:12105,155
NSR:Quay:12109,Lodalen,59.903443,10.777709,NSR:Quay:12109,156
NSR:Quay:104409,Middelalderparken,59.90642,10.764182,NSR:Quay:104409,157
NSR:Quay:7170,Bjørvika,59.908211,10.756903,NSR:Quay:7170,158
NSR:Quay:7159,Jernbanetorget,59.909486,10.748067,NSR:Quay:7159,118
NSR:Quay:101778,Kvadraturen,59.910232,10.74512,NSR:Quay:101778,600
NSR:Quay:101777,Wessels plass,59.91229,10.739278,NSR:Quay:101777,117
NSR:Quay:7350,Nationaltheatret,59.914791,10.732886,NSR:Quay:7350,116
NSR:Quay:12430,Holmlia stasjon,59.834891,10.797031,NSR:Quay:12430,159
