from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:10964,NSR:Quay:10950,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10950,NSR:Quay:10943,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10943,NSR:Quay:10643,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10643,NSR:Quay:10655,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10655,NSR:Quay:10698,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10698,NSR:Quay:10739,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10739,NSR:Quay:10485,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,24,43
NSR:Quay:10485,NSR:Quay:10478,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:10478,NSR:Quay:10526,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,24,43
NSR:Quay:10526,NSR:Quay:10534,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,24,43
NSR:Quay:10534,NSR:Quay:10539,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,24,43
NSR:Quay:12275,NSR:Quay:11455,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:11455,NSR:Quay:11485,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11485,NSR:Quay:11299,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11299,NSR:Quay:11324,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:11324,NSR:Quay:11346,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11346,NSR:Quay:11354,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:11354,NSR:Quay:11136,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11136,NSR:Quay:11149,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,,39,43
NSR:Quay:11149,NSR:Quay:11128,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,240,39,43
NSR:Quay:11128,NSR:Quay:11108,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:11108,NSR:Quay:11088,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11088,NSR:Quay:11067,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:11067,NSR:Quay:11071,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:11071,NSR:Quay:10834,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:10834,NSR:Quay:10855,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:10855,NSR:Quay:10865,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,180,39,43
NSR:Quay:10865,NSR:Quay:10930,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:10930,NSR:Quay:10932,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:10932,NSR:Quay:10776,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60,39,43
NSR:Quay:10776,NSR:Quay:10800,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:10800,NSR:Quay:10561,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120,39,43
NSR:Quay:10538,NSR:Quay:10535,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,22,43
NSR:Quay:10535,NSR:Quay:10525,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10525,NSR:Quay:10477,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10477,NSR:Quay:10484,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120,22,43
NSR:Quay:10484,NSR:Quay:10736,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10736,NSR:Quay:10697,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10697,NSR:Quay:10656,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,,22,43
NSR:Quay:10656,NSR:Quay:10648,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10648,NSR:Quay:10942,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
NSR:Quay:10942,NSR:Quay:10955,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60,22,43
